area,contact_is_private_seller,district,dpe,estate_type,ges,is_exclusive,price,rooms,sold,selling_time,old_price,appartment_size,price_decrease_percent,bedrooms,level,balcony,terrace,parking,elevator,box,garden,swimming_pool
57,0,1,C,Appartment,C,f,229000,2,n,,0,small_2_bed,"0,00",1,1,0,1,0,0,0,0,0
43,0,1,C,Appartment,C,f,229000,2,n,,0,small_1_bed,"0,00",1,4,1,0,0,0,0,0,0
43,0,1,E,Appartment,B,t,229500,3,n,,0,small_1_bed,"0,00",2,1,1,1,1,0,0,0,0
60,0,3,A,Appartment,A,f,230000,3,n,,0,small_2_bed,"0,00",2,2,0,1,0,1,1,0,0
44,0,2,A,New Appartment,A,f,230000,2,y,1 month,0,small_1_bed,"0,00",1,0,0,1,0,0,0,0,0
53,0,3,A,Appartment,A,f,230000,2,y,1 month,0,small_2_bed,"0,00",1,1,0,0,0,0,1,0,0
36,0,2,D,Appartment,B,t,230629,2,y,1 month,0,small_1_bed,"0,00",1,2,1,0,1,0,0,0,0
71,0,1,D,Appartment,D,t,231000,3,n,,0,big_2_bed_or_more,"0,00",2,1,1,0,0,0,0,0,0
50,0,2,D,Appartment,D,t,235000,2,y,1 month,0,small_2_bed,"0,00",1,1,0,0,1,0,0,0,0
76,0,4,D,Appartment,E,t,235000,4,n,,248000,big_2_bed_or_more,"5,24",3,1,1,1,0,1,0,0,0
79,0,1,G,Appartment,F,t,239000,4,y,1 month,0,big_2_bed_or_more,"0,00",2,2,0,0,0,0,0,0,0
39,0,4,E,Appartment,B,f,239200,2,n,,0,small_1_bed,"0,00",1,2,1,0,1,0,0,0,0
35,0,1,D,Appartment,B,f,244000,2,n,,0,studio,"0,00",1,2,0,1,1,0,0,0,0
41,0,1,F,Appartment,F,f,246100,2,n,,0,small_1_bed,"0,00",1,2,1,0,0,1,0,0,0
29,0,4,C,Appartment,D,t,246500,2,n,,0,studio,"0,00",1,4,0,0,0,1,1,0,0
76,0,4,F,Appartment,F,f,249000,4,y,1 month,0,big_2_bed_or_more,"0,00",2,4,1,0,0,0,1,0,0
75,0,3,C,Appartment,A,f,249000,3,y,2 weeks,0,big_2_bed_or_more,"0,00",2,2,1,0,0,0,0,0,0
35,0,1,E,Studio,E,f,249900,1,n,,0,studio,"0,00",0,3,1,0,0,1,0,0,0
44,0,2,A,New Appartment,A,f,250000,2,n,,0,small_1_bed,"0,00",0,0,0,1,0,0,1,0,0
35,0,1,E,Appartment,B,f,254000,2,n,,0,studio,"0,00",1,1,0,1,0,0,1,0,0
83,0,3,F,Appartment,F,t,254500,4,y,1 month,0,big_2_bed_or_more,"0,00",3,4,0,1,0,0,0,0,0
80,0,4,F,Appartment,C,f,256800,4,n,,0,big_2_bed_or_more,"0,00",3,4,0,0,0,1,0,0,0
77,0,4,E,Appartment,C,t,257000,4,n,,0,big_2_bed_or_more,"0,00",3,3,1,1,1,0,0,0,0
43,0,3,A,New Appartment,A,f,258000,2,n,,0,small_1_bed,"0,00",1,0,0,1,0,0,1,0,0
88,0,1,G,Appartment,C,f,258800,4,n,,0,big_2_bed_or_more,"0,00",3,2,0,1,0,0,1,0,0
72,0,3,C,Appartment,D,f,262500,3,n,,0,big_2_bed_or_more,"0,00",2,1,0,1,1,0,0,0,0
40,0,1,F,Appartment,F,t,266000,2,n,,0,small_1_bed,"0,00",1,4,0,1,0,1,0,0,0
50,0,2,C,Appartment,A,t,267925,3,n,,0,small_2_bed,"0,00",2,5,0,1,1,0,0,0,0
43,0,2,E,Appartment,B,t,268000,3,n,,0,small_1_bed,"0,00",2,1,0,1,1,0,0,0,1
84,0,3,C,Appartment,A,t,268000,3,y,2 weeks,0,big_2_bed_or_more,"0,00",2,2,1,0,1,0,0,0,0
46,0,2,A,New Appartment,A,f,269000,2,n,,259000,small_1_bed,"-3,86",0,0,0,0,0,0,1,1,0
41,0,4,C,Appartment,A,f,270000,2,n,,0,small_1_bed,"0,00",1,3,0,1,1,1,1,0,0
52,0,1,C,Appartment,C,t,275000,3,n,,0,small_2_bed,"0,00",2,2,1,0,0,0,0,0,0
43,0,1,E,Appartment,B,t,275600,2,n,,0,small_1_bed,"0,00",1,4,1,0,1,1,0,0,0
52,1,2,C,Appartment,D,f,275600,3,n,,0,small_2_bed,"0,00",2,2,1,1,1,0,0,0,0
27,0,1,D,Studio,B,f,276600,1,y,1 week,0,studio,"0,00",0,2,0,1,1,0,0,0,0
68,0,1,D,Appartment,B,f,278000,3,n,,296000,big_2_bed_or_more,"6,08",2,2,1,1,0,1,0,0,0
71,0,1,D,Appartment,E,f,278200,3,n,,0,big_2_bed_or_more,"0,00",2,2,1,0,1,0,0,0,0
66,0,1,D,Appartment,B,f,279000,4,n,,0,small_2_bed,"0,00",3,0,0,0,0,1,0,1,0
83,0,1,D,Appartment,D,t,279000,3,n,,0,big_2_bed_or_more,"0,00",2,1,0,0,0,0,0,0,0
30,0,1,F,Studio,B,f,279033,1,y,1 month,0,studio,"0,00",0,2,0,1,0,1,0,0,0
25,0,1,E,Studio,C,f,280000,1,n,,0,studio,"0,00",0,0,0,1,1,0,0,0,0
71,0,1,E,Appartment,C,f,280000,4,y,1 month,0,big_2_bed_or_more,"0,00",3,1,0,1,0,0,0,0,0
47,0,2,C,Appartment,A,f,282700,3,n,,293193,small_1_bed,"3,58",2,2,0,0,1,0,1,0,0
56,0,2,C,Appartment,A,f,282700,3,n,,0,small_2_bed,"0,00",2,2,1,1,1,0,0,0,0
55,0,1,E,Appartment,F,f,284850,3,n,,0,small_2_bed,"0,00",2,0,0,1,0,0,0,1,0
42,1,1,G,Appartment,G,f,285000,2,n,,277000,small_1_bed,"-2,89",1,4,1,0,0,1,0,0,0
58,0,3,A,New Appartment,A,f,285000,3,n,,0,small_2_bed,"0,00",0,0,0,1,0,0,0,1,0
86,0,3,A,Appartment,A,f,285000,5,n,,0,big_2_bed_or_more,"0,00",3,2,0,1,0,1,0,0,0
44,0,1,A,Appartment,A,t,285000,2,n,,293300,small_1_bed,"28,30",1,4,1,0,0,1,0,0,0
41,0,1,F,Appartment,F,f,286000,2,n,,0,small_1_bed,"0,00",1,3,1,1,0,1,0,0,0
34,0,1,C,Appartment,C,t,287000,2,n,,0,studio,"0,00",1,2,0,1,1,1,0,0,0
25,0,1,E,Studio,C,f,288000,1,n,,0,studio,"0,00",0,2,0,1,1,0,0,0,0
38,0,1,C,Appartment,A,t,289000,2,y,2 months,0,small_1_bed,"0,00",1,2,0,0,1,1,0,0,0
28,0,1,D,Studio,D,f,290000,1,y,1 month,0,studio,"0,00",0,3,0,1,0,1,0,0,1
60,0,3,E,Appartment,F,f,294250,3,n,,0,small_2_bed,"0,00",2,1,1,0,0,0,1,0,0
59,0,3,D,New Appartment,A,f,295000,3,n,,0,small_2_bed,"0,00",2,0,0,1,0,0,0,1,0
62,0,4,D,Appartment,A,t,295000,3,n,,0,small_2_bed,"0,00",2,3,0,1,1,0,0,0,0
55,1,1,D,Studio,A,f,295000,1,y,1 month,0,small_2_bed,"0,00",0,0,1,0,0,0,0,0,0
68,0,3,D,Appartment,D,t,295400,4,n,,300000,big_2_bed_or_more,"15,33",2,1,1,0,1,0,1,0,0
69,0,4,E,Appartment,E,f,299000,4,y,2 weeks,0,big_2_bed_or_more,"0,00",3,4,0,1,1,0,0,0,0
57,0,4,C,Appartment,D,f,299000,2,n,,0,small_2_bed,"0,00",1,3,0,1,1,0,0,0,0
102,0,4,G,Appartment,D,f,299900,4,n,,0,big_2_bed_or_more,"0,00",3,4,1,1,1,1,0,0,0
36,0,1,D,Appartment,D,t,300000,2,n,,0,small_1_bed,"0,00",1,4,1,1,0,1,0,0,0
